0, 48, 12/02/2011 03:38 AM
1, 26, 24/07/2008 01:17 AM
1, 84, 12/02/2009 01:52 PM
1, 24, 28/05/2008 10:51 AM
1, 9, 02/12/2009 05:01 AM
1, 4, 13/02/2011 10:40 PM
2, 36, 27/10/2011 02:30 AM
2, 34, 01/08/2011 08:54 AM
2, 78, 12/01/2010 08:41 PM
2, 25, 06/02/2008 11:41 AM
2, 52, 25/05/2011 11:35 AM
2, 94, 23/09/2011 03:20 PM
2, 96, 20/09/2010 10:59 AM
2, 22, 18/08/2008 04:46 PM
2, 67, 06/02/2009 06:24 PM
2, 51, 06/03/2011 04:52 AM
2, 59, 06/02/2008 03:33 AM
2, 56, 07/06/2008 11:16 PM
2, 14, 19/03/2008 05:15 AM
2, 63, 04/02/2012 10:43 AM
2, 72, 10/05/2010 09:43 PM
2, 59, 11/01/2010 03:16 AM
2, 87, 09/06/2010 04:22 PM
2, 70, 24/05/2008 12:35 AM
3, 45, 28/03/2009 01:19 PM
3, 1, 26/03/2011 10:18 PM
3, 53, 22/06/2009 09:38 PM
3, 70, 16/11/2009 06:35 PM
3, 76, 03/03/2009 08:01 AM
4, 38, 19/03/2011 11:31 PM
4, 15, 07/01/2008 12:23 PM
4, 80, 24/06/2010 07:44 PM
4, 69, 26/10/2008 09:09 AM
4, 62, 11/03/2008 05:58 AM
4, 22, 01/07/2011 04:17 PM
4, 52, 04/03/2009 03:38 AM
4, 42, 02/04/2009 03:32 PM
4, 32, 06/03/2009 04:46 PM
4, 55, 28/01/2010 02:45 PM
4, 13, 05/11/2011 11:52 PM
4, 68, 17/10/2011 12:07 AM
4, 54, 24/08/2009 10:16 AM
4, 100, 24/03/2009 12:44 PM
4, 61, 12/05/2009 12:11 PM
4, 43, 24/12/2011 07:56 PM
4, 7, 15/12/2009 06:21 AM
4, 41, 17/01/2011 12:21 AM
5, 81, 02/09/2009 01:34 AM
5, 27, 22/11/2009 12:58 PM
5, 91, 04/02/2012 02:40 PM
5, 76, 19/03/2009 08:44 PM
5, 37, 16/06/2009 02:08 PM
5, 73, 17/02/2008 07:09 PM
5, 15, 13/10/2011 04:28 PM
6, 21, 02/02/2012 10:10 PM
6, 55, 05/01/2008 05:50 AM
6, 28, 14/06/2009 10:32 AM
6, 76, 18/06/2011 07:00 AM
6, 7, 12/06/2011 07:03 PM
6, 32, 26/06/2009 08:11 AM
6, 75, 08/08/2010 01:33 PM
6, 6, 22/11/2011 02:10 AM
6, 4, 18/02/2012 12:44 AM
6, 19, 26/09/2009 06:38 PM
6, 47, 17/02/2008 06:44 AM
6, 66, 02/10/2010 01:47 AM
